RAh,RAM,RAs,DE-,DEd,DEm,DEs,Names,PGCName,FILEN,z,OV,Fam,IV,ST,T,F,CVRHS,RA,coord,RAdeg,DECdeg,SDSS,RAdeg_x,DEdeg,errHalfMaj,errHalfMin,errPosAng,q_mode,cl,m_SDSS,flags,ObsDate,Q,zsp,umag,e_umag,gmag,e_gmag,rmag,e_rmag,imag,e_imag,zmag,e_zmag,angDist
8,20,42.41,+,54,7,35.6,UGC 04335,23412,5878,0.031,(R1P),SB_a,"(p,r,bl)",Sa,1,1.0,"(R1P)SB_a(p,r,bl)a",8 20 42.41 +54 7 35.6,8 20 42.41 +54 7 35.6,125.17670833333332,54.126555555555555,J082042.40+540735.6,125.176679,54.126576,0.044,0.043,64.0,,3,,0000001010021010,2003.8096,3,0.031,16.496,0.017,14.517,0.002,13.65,0.002,13.215,0.002,12.892,0.004,0.096153
8,20,43.32,+,18,2,28.1,2MASX J08204329+1802274,1548534,49242,0.100,(RP),SAB,(s),Sb,3,0.5,(RP)SAB(s)b:,8 20 43.32 +18 2 28.1,8 20 43.32 +18 2 28.1,125.1805,18.04113888888889,J082043.31+180228.0,125.180482,18.041115,0.055,0.05,117.0,,3,,0000901010020010,2004.9483,2,0.10043,18.59,0.034,17.383,0.005,16.691,0.005,16.264,0.005,15.97,0.013,0.105839
8,20,51.55,+,7,30,25.6,2MASX J08205154+0730263,1323517,11463,0.150,(RP),S_AB_a,(l),Sbc,4,0.25,(RP)S_AB_a(l)bc: pec,8 20 51.55 +7 30 25.6,8 20 51.55 +7 30 25.6,125.21479166666666,7.5071111111111115,J082051.54+073025.5,125.214778,7.507107,0.048,0.047,90.0,,3,,0000001010020110,2004.0748,3,0.15036,19.321,0.091,17.673,0.01,16.661,0.007,16.202,0.006,15.853,0.014,0.051137
8,20,52.56,+,41,9,35.6,2MASX J08205256+4109360,2176639,34537,0.058,(RL),SA_B_a,(l),S0+,-1,0.75,(RL)SA_B_a(l)0^+^,8 20 52.56 +41 9 35.6,8 20 52.56 +41 9 35.6,125.219,41.15988888888889,J082052.55+410935.5,125.218991,41.159882,0.061,0.054,139.0,,3,,0000000010020110,2001.2871,3,0.05794,18.7,0.038,16.946,0.005,16.073,0.004,15.641,0.004,15.309,0.009,0.034838
8,20,54.49,+,28,50,11.2,2MASX J08205450+2850110,1847473,73368,0.056,(R2P),SAB,(l),S0/a,0,0.5,(R2P)SAB(l)0/a:,8 20 54.49 +28 50 11.2,8 20 54.49 +28 50 11.2,125.22704166666666,28.836444444444442,J082054.49+285011.1,125.227052,28.836436,0.042,0.037,129.0,,3,,0000001010020200,2002.8513,3,0.05596,18.551,0.03,16.85,0.004,16.084,0.004,15.716,0.004,15.414,0.009,0.044422
8,20,55.94,+,41,8,3.6,LCSB S1133P,---,34542,0.060,(RP:),SA,(rs:),Sa,1,0.0,(RP:)SA(rs:)a,8 20 55.94 +41 8 3.6,8 20 55.94 +41 8 3.6,125.23308333333333,41.13433333333333,J082055.93+410803.6,125.233069,41.134334,0.061,0.054,139.0,,3,,0000000010021110,2001.2871,3,0.05978,18.469,0.037,16.533,0.004,15.59,0.003,15.136,0.003,14.791,0.007,0.039085
8,21,24.63,+,19,8,52.0,NGC 2572,23441,26540,0.027,(RPL),SB_a,"(r,bl)",Sa,1,1.0,"(RPL)SB_a(r,bl)a",8 21 24.63 +19 8 52.0,8 21 24.63 +19 8 52.0,125.35262499999997,19.147777777777776,J082124.63+190852.0,125.352624,19.147777,0.052,0.04,30.0,,3,,00000008100A1010,2004.2906,3,0.02658,16.394,0.014,14.485,0.002,13.585,0.002,13.119,0.002,12.757,0.003,0.004653
8,21,39.45,+,59,24,54.0,2MASX J08213945+5924535,2590197,8504,0.038,,SA,(r),S0/a,0,0.0,SA(r)0/a,8 21 39.45 +59 24 54.0,8 21 39.45 +59 24 54.0,125.41437499999998,59.415,J082139.47+592454.1,125.414476,59.415041,0.045,0.042,57.0,,3,,0000001010021010,2003.886,2,0.03844,17.448,0.024,15.763,0.003,14.927,0.003,14.484,0.003,14.174,0.005,0.236485
8,22,16.23,+,21,5,33.2,CGCG 119-072,23477,20657,0.022,(RL),SA_B,"(r,bl)",S0/a,0,0.75,"(RL)SA_B(r,bl)0/a",8 22 16.23 +21 5 33.2,8 22 16.23 +21 5 33.2,125.56762499999999,21.092555555555553,J082216.23+210533.2,125.56764,21.092557,0.041,0.041,45.0,,3,,0000001010021010,2004.2114,3,0.0223,16.722,0.013,14.803,0.002,13.98,0.002,13.567,0.002,13.234,0.003,0.050854
8,22,18.93,+,13,53,24.9,2MASX J08221899+1353244,1443358,60597,---,(RP),SA,(s:),Sc,5,0.0,(RP)SA(s:)c,8 22 18.93 +13 53 24.9,8 22 18.93 +13 53 24.9,125.578875,13.89025,J082218.92+135324.8,125.578862,13.890237,0.062,0.052,112.0,,3,,0000401010020010,2005.0956,3,,18.546,0.044,17.179,0.006,16.515,0.005,16.13,0.006,15.931,0.014,0.06541
8,22,41.2,+,4,15,44.7,IC 0504,23495,60170,0.014,,SA,(r),S0/a,0,0.0,SA(r)0/a,8 22 41.2 +4 15 44.7,8 22 41.2 +4 15 44.7,125.67166666666667,4.262416666666667,J082241.19+041544.7,125.671647,4.262425,0.043,0.041,11.0,,3,,00002008100A1010,2002.1742,3,,15.621,0.009,13.612,0.002,12.769,0.002,12.308,0.002,11.973,0.002,0.0764
8,22,42.45,+,7,5,18.8,2MASX J08224247+0705189,1313592,77055,0.080,(R1L),SA,"(r,bl)",S0/a,0,0.0,"(R1L)SA(r,bl)0/a:",8 22 42.45 +7 5 18.8,8 22 42.45 +7 5 18.8,125.676875,7.088555555555555,J082242.45+070518.8,125.676889,7.088558,0.048,0.036,10.0,,3,,0000000010021010,2002.9525,2,0.08011,18.336,0.03,16.781,0.005,15.949,0.004,15.511,0.004,15.218,0.008,0.050556
8,22,45.7,+,1,2,13.0,GALEXASC J082245.71+010213,---,21953,---,(RP),SA,,Sab,2,0.0,(RP)SAab:,8 22 45.7 +1 2 13.0,8 22 45.7 +1 2 13.0,125.69041666666665,1.0369444444444444,J082245.81+010212.6,125.690889,1.036841,0.045,0.041,93.0,,3,,00002000100A0314,2000.9076,3,,24.746,3.053,18.315,0.01,17.075,0.006,17.871,0.016,16.263,0.015,1.739987
8,23,21.34,+,15,24,52.7,2MASX J08232132+1524522,1484019,35632,0.091,(RP),SAB,(irpl),S0/a,0,0.5,(RP)SAB(irpl)0/a,8 23 21.34 +15 24 52.7,8 23 21.34 +15 24 52.7,125.83891666666665,15.41463888888889,J082321.34+152452.6,125.838929,15.414626,0.042,0.04,113.0,,3,,0000001010020110,2004.9704,2,0.09134,18.233,0.036,16.46,0.005,15.586,0.004,15.17,0.004,14.73,0.007,0.062975
8,23,36.77,+,4,23,2.5,2MASX J08233674+0423027,3729859,57375,0.091,(R1),SA_B,(r),S0/a,0,0.75,(R1)SA_B(r)0/a,8 23 36.77 +4 23 2.5,8 23 36.77 +4 23 2.5,125.9032083333333,4.384027777777778,J082336.76+042302.4,125.90319,4.384022,0.053,0.048,6.0,,3,,0000000010021010,2002.1197,3,,17.379,0.016,15.888,0.003,15.14,0.003,14.762,0.003,14.486,0.005,0.069369
8,23,36.85,+,21,9,5.6,2MASX J08233680+2109054,1643903,18571,0.090,(RP),SA,(s),Sa,1,0.0,(RP)SA(s)a,8 23 36.85 +21 9 5.6,8 23 36.85 +21 9 5.6,125.90354166666664,21.151555555555554,J082336.84+210905.5,125.903516,21.151538,0.047,0.045,135.0,,3,,0000001010021210,2004.2088,3,0.0906,19.41,0.053,17.409,0.006,16.425,0.004,15.985,0.004,15.649,0.008,0.106689
8,23,38.03,+,47,56,27.5,2MASX J08233806+4756270,2307344,6980,0.053,(RP),SA,(_rs),Sb,3,0.0,(RP)SA(_rs)b,8 23 38.03 +47 56 27.5,8 23 38.03 +47 56 27.5,125.90845833333331,47.94097222222222,J082338.03+475627.4,125.908461,47.940967,0.049,0.041,143.0,,3,,0000100010021010,2000.258,2,0.0533,17.578,0.03,15.769,0.004,14.914,0.003,14.445,0.003,14.088,0.006,0.020067
8,23,49.08,+,55,21,49.1,2MASX J08234901+5521491,2499411,7042,0.043,,SA,(rs),S0/a,0,0.0,SA(rs)0/a:,8 23 49.08 +55 21 49.1,8 23 49.08 +55 21 49.1,125.95449999999997,55.36363888888889,J082349.07+552148.9,125.954492,55.363603,0.048,0.043,52.0,,3,,0000001010020010,2003.8123,3,0.04297,18.021,0.024,16.294,0.003,15.5,0.003,15.118,0.003,14.779,0.006,0.130224
8,23,55.28,+,20,58,31.7,CGCG 119-082,23561,20556,0.016,,SB,"(r,bl)",S0+,-1,1.0,"SB(r,bl)0^+^",8 23 55.28 +20 58 31.7,8 23 55.28 +20 58 31.7,125.9803333333333,20.97547222222222,J082355.28+205831.6,125.980347,20.975469,0.044,0.04,121.0,,3,,0000001010021010,2004.2114,3,0.01571,16.395,0.015,14.585,0.002,13.776,0.002,13.355,0.002,13.063,0.003,0.047121
8,24,20.25,+,20,31,59.7,IC 2348,23589,28011,0.020,(R2P),SA,(r),Sb,3,0.0,(R2P)SA(r)b,8 24 20.25 +20 31 59.7,8 24 20.25 +20 31 59.7,126.084375,20.53325,J082420.24+203159.6,126.084362,20.533244,0.054,0.049,123.0,,3,,0000001010021010,2004.2907,3,0.01989,17.131,0.015,15.513,0.003,14.758,0.002,14.38,0.003,14.064,0.004,0.048748
8,24,24.96,+,20,26,55.9,2MASX J08242498+2026564,1627640,28013,0.114,(RP),SA,(_rs),Sa,1,0.0,(RP)SA(_rs)a:,8 24 24.96 +20 26 55.9,8 24 24.96 +20 26 55.9,126.10399999999998,20.44886111111111,J082424.96+202655.9,126.104004,20.448866,0.055,0.05,119.0,,3,,0000001090000010,2004.2907,3,0.1144,18.244,0.032,16.921,0.005,16.141,0.004,15.706,0.005,15.435,0.01,0.022014
8,24,29.04,+,15,7,4.6,2MASX J08242901+1507048,1475718,35444,0.093,(R),S_AB,(l),S0+,-1,0.25,(R)S_AB(l)0^+^,8 24 29.04 +15 7 4.6,8 24 29.04 +15 7 4.6,126.12099999999998,15.117944444444445,J082429.03+150704.6,126.120988,15.117947,0.05,0.044,115.0,,3,,0000001010020210,2004.9704,2,0.09289,19.788,0.075,17.828,0.007,16.87,0.005,16.426,0.005,16.086,0.012,0.04306
8,24,29.57,+,11,36,3.3,SDSS J082429.56+113603.2,1396014,61983,0.113,(R2P),SAB,(l),Sb,3,0.5,(R2P)SAB(l)b:,8 24 29.57 +11 36 3.3,8 24 29.57 +11 36 3.3,126.12320833333332,11.600916666666667,J082429.56+113603.2,126.123202,11.600902,0.049,0.048,112.0,,3,,0000001010020110,2005.1887,2,0.11342,19.744,0.099,17.883,0.009,16.885,0.006,16.445,0.005,16.056,0.011,0.057341
