,JID,RAdeg,DEdeg,z,TType,Bar,Ring,FRing,RC3
111,J111522.09+000655.41,168.843,0.116,0.028,7.0,72.0,0.0,0.0,999999
112,J111600.22+000900.72,169.001,0.151,0.076,-5.0,0.0,0.0,0.0,999999
113,J111856.19+001034.00,169.735,0.177,0.025,6.0,4.0,0.0,0.0,.SXT5*.
114,J112054.68+001021.35,170.228,0.173,0.025,2.0,0.0,0.0,0.0,999999
115,J112303.24+000326.84,170.764,0.058,0.069,-5.0,0.0,0.0,0.0,999999
116,J113439.15+000729.14,173.664,0.125,0.029,1.0,0.0,0.0,0.0,.SAR0*.
117,J113523.27+000525.98,173.847,0.091,0.03,-5.0,0.0,0.0,0.0,999999
118,J114253.92+000942.82,175.725,0.162,0.019,9.0,0.0,0.0,0.0,999999
119,J114526.29+000014.54,176.36,0.005,0.014,0.0,0.0,0.0,0.0,.LA.0./
121,J115909.71+000006.69,179.791,0.002,0.048,3.0,0.0,0.0,0.0,999999
122,J120104.99+000649.56,180.271,0.114,0.021,0.0,0.0,0.0,0.0,.L..../
123,J120823.51+000636.95,182.098,0.111,0.041,-5.0,0.0,0.0,0.0,CE.....
124,J120831.30+000811.39,182.131,0.137,0.035,4.0,0.0,0.0,0.0,.S..4?.
126,J122827.12+000832.66,187.114,0.143,0.023,5.0,0.0,0.0,0.0,.SB.2?.
127,J123952.49+000731.75,189.969,0.126,0.023,0.0,0.0,0.0,0.0,999999
128,J124249.62+000127.14,190.707,0.025,0.049,1.0,0.0,0.0,0.0,999999
129,J124647.45+000702.85,191.698,0.118,0.088,-2.0,0.0,0.0,0.0,999999
130,J131044.70+000155.49,197.687,0.033,0.041,4.0,0.0,0.0,0.0,999999
131,J131129.96+000857.71,197.875,0.15,0.064,-5.0,0.0,0.0,0.0,999999
132,J132151.90+000821.76,200.467,0.14,0.035,-2.0,0.0,0.0,0.0,999999
133,J132849.13+000258.22,202.205,0.05,0.049,1.0,0.0,0.0,0.0,999999
134,J135342.79+000339.14,208.429,0.061,0.03,0.0,0.0,0.0,0.0,999999
136,J140137.99+000402.52,210.409,0.068,0.086,4.0,0.0,0.0,0.0,999999
137,J140407.39+000838.44,211.031,0.145,0.048,-2.0,0.0,0.0,0.0,999999
138,J141330.00+001109.02,213.375,0.186,0.026,6.0,0.0,0.0,0.0,999999
140,J141835.45+000927.78,214.648,0.158,0.054,4.0,0.0,0.0,0.0,999999
141,J142227.61+000332.68,215.616,0.06,0.032,10.0,0.0,0.0,0.0,999999
142,J143019.70+000708.90,217.583,0.12,0.057,-5.0,0.0,0.0,0.0,999999
143,J143540.07+001217.76,218.917,0.205,0.03,0.0,4.0,0.0,0.0,999999
144,J144418.88+000230.89,221.079,0.042,0.029,-3.0,0.0,0.0,0.0,999999
145,J145052.59+000540.21,222.72,0.095,0.043,-5.0,0.0,0.0,0.0,999999
146,J145336.92+000020.55,223.404,0.006,0.044,-5.0,0.0,0.0,0.0,999999
148,J150145.24+000030.51,225.439,0.009,0.041,-5.0,0.0,0.0,0.0,999999
149,J150654.85+001110.79,226.729,0.187,0.036,0.0,0.0,0.0,0.0,999999
150,J150849.64+001041.03,227.207,0.179,0.054,5.0,0.0,0.0,0.0,999999
151,J151015.49+000225.05,227.565,0.041,0.064,4.0,4.0,0.0,0.0,999999
152,J151727.32+000709.86,229.364,0.12,0.035,5.0,8.0,0.0,0.0,999999
153,J152258.86+000556.16,230.746,0.099,0.059,0.0,0.0,0.0,0.0,999999
155,J154959.53+001207.15,237.499,0.202,0.033,0.0,72.0,0.0,0.0,999999
156,J110855.77+002641.30,167.233,0.445,0.013,-5.0,0.0,0.0,0.0,999999
157,J111609.33+003424.72,169.039,0.574,0.029,4.0,0.0,0.0,0.0,.SXT5*.
158,J111849.55+003709.39,169.707,0.62,0.026,5.0,0.0,0.0,0.0,999999
159,J112048.01+002806.85,170.201,0.469,0.025,1.0,0.0,0.0,0.0,999999
160,J112049.00+002733.27,170.205,0.46,0.025,99.0,0.0,0.0,0.0,999999
161,J112048.43+003450.07,170.202,0.581,0.041,4.0,0.0,0.0,0.0,RSXT2?.
162,J112059.75+003203.21,170.249,0.535,0.025,2.0,0.0,0.0,0.0,.L...P?
163,J112306.43+003646.25,170.777,0.613,0.064,-3.0,0.0,0.0,0.0,999999
164,J113029.32+002939.49,172.623,0.495,0.029,-5.0,0.0,0.0,0.0,.LA.-*.
165,J114359.62+002540.84,175.999,0.429,0.029,10.0,0.0,0.0,0.0,999999
